asset_class,symbol,tf,group,spec,entry,direction,exit,gate,sharpe,sortino,max_dd,months_in_profit,ann_turnover,total_return,n_obs
crypto,ETHUSDT,4h,exit,"ema|fast50,slow200|atr_trailing|ls",ema,ls,atr_trailing,-,0.581,0.869,-0.4265,0.5,29.3,1.1301,3271
crypto,ETHUSDT,4h,exit,"ema|fast50,slow200|channel|ls",ema,ls,channel,-,0.627,0.969,-0.3849,0.574,33.5,1.2854,3271
crypto,ETHUSDT,4h,gate,"ema|fast50,slow200|g:adx|reversal|ls",ema,ls,reversal,adx,0.635,0.919,-0.4074,0.537,9.6,1.3466,3271
crypto,ETHUSDT,4h,gate,"ema|fast50,slow200|g:ltf|reversal|ls",ema,ls,reversal,ltf,0.724,1.067,-0.39,0.546,10.1,1.69,3271
crypto,ETHUSDT,4h,gate,"ema|fast50,slow200|g:vol|reversal|ls",ema,ls,reversal,vol,0.664,0.936,-0.4016,0.528,9.8,1.4306,3271
crypto,ETHUSDT,4h,headline,blend|long_only,blend,long_only,-,-,1.001,1.079,-0.08,0.343,5.4,0.7321,3271
crypto,ETHUSDT,4h,headline,blend|asym,blend,asym,-,-,1.071,1.518,-0.072,0.556,7.1,0.8591,3271
crypto,ETHUSDT,1h,entry,"ema|fast20,slow100|reversal|ls",ema,ls,reversal,-,0.192,0.346,-0.2477,0.519,84.2,0.1279,2404
crypto,ETHUSDT,1h,entry,"ema|fast50,slow200|reversal|ls",ema,ls,reversal,-,0.227,0.384,-0.2956,0.532,50.7,0.1747,2404
crypto,ETHUSDT,1h,entry,"ema|fast100,slow300|reversal|ls",ema,ls,reversal,-,0.454,0.731,-0.2798,0.544,35.3,0.5249,2404
crypto,ETHUSDT,1h,entry,"sma|fast50,slow200|reversal|ls",sma,ls,reversal,-,-0.035,-0.058,-0.4018,0.43,51.1,-0.1308,2404
crypto,ETHUSDT,1h,entry,tsmom|lookback30|reversal|ls,tsmom,ls,reversal,-,-1.376,-2.4,-0.8437,0.329,447.2,-0.8213,2404
crypto,ETHUSDT,1h,entry,tsmom|lookback90|reversal|ls,tsmom,ls,reversal,-,-0.179,-0.318,-0.4319,0.532,247.0,-0.2609,2404
crypto,ETHUSDT,1h,entry,"macd|fast12,slow26|reversal|ls",macd,ls,reversal,-,-0.682,-1.108,-0.6566,0.405,374.6,-0.5837,2404
crypto,ETHUSDT,1h,entry,donchian|lookback55|reversal|ls,donchian,ls,reversal,-,0.333,0.578,-0.2602,0.557,59.7,0.3277,2404
crypto,ETHUSDT,1h,entry,blend|ls,blend,ls,-,-,0.57,1.237,-0.0973,0.519,50.8,0.3664,2404
